Name: CCTV-4, URL: https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8, IPv_Type: ipv4, Location: 英国, ISP: , Date: None, Delay: 7353 ms, Speed: 0.34 M/s, Resolution: 1920x1080
Name: 广东卫视, URL: http://satellitepull.cnr.cn/live/wxgdws/playlist.m3u8, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 19 ms, Speed: 5.26 M/s, Resolution: None
Name: 北京卫视, URL: http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 22 ms, Speed: 4.97 M/s, Resolution: None
Name: 东南卫视, URL: http://satellitepull.cnr.cn/live/wx32fjws/playlist.m3u8, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 19 ms, Speed: 5.10 M/s, Resolution: None
Name: 河南卫视, URL: http://satellitepull.cnr.cn/live/wxhnws/playlist.m3u8, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 22 ms, Speed: 4.94 M/s, Resolution: None
Name: 吉林卫视, URL: http://satellitepull.cnr.cn/live/wxjlws/playlist.m3u8, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 22 ms, Speed: 5.04 M/s, Resolution: None
Name: 山东卫视, URL: http://satellitepull.cnr.cn/live/wxsdws/playlist.m3u8, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 20 ms, Speed: 4.84 M/s, Resolution: None
Name: 四川卫视, URL: http://121.17.146.34:50003/hls/48/index.m3u8, IPv_Type: ipv4, Location: 中国-河北-衡水, ISP: 联通, Date: None, Delay: 10637 ms, Speed: 0.00 M/s, Resolution: None
Name: 北京新闻, URL: https://satellitepull.cnr.cn/live/wxbjxwgb/playlist.m3u8, IPv_Type: ipv4, Location: 美国, ISP: , Date: None, Delay: 27 ms, Speed: 4.14 M/s, Resolution: None
Name: 济南新闻综合, URL: rtmp://tv.qntv.net/channellive/ch1?zguizd, IPv_Type: ipv4, Location: 中国-贵州-黔南布依族苗族自治州, ISP: 联通, Date: None, Delay: -1 ms, Speed: inf M/s, Resolution: 1920x1080
Name: 青州电视台生活, URL: http://sdqz.chinashadt.com:2036/live/stream:2.stream/playlist.m3u8, IPv_Type: ipv4, Location: 中国-山东-潍坊, ISP: 联通, Date: None, Delay: 10755 ms, Speed: 0.07 M/s, Resolution: 720x576
